,index,Spanish-es,emotion
0,0,a ciegas,sadness
1,1,a hurtadillas,surprise
2,2,a la deriva,anticipation
3,6,a la fuerza,anger
4,8,aaaaaaah,fear
5,9,abadejo,anger
6,10,abajo,sadness
7,11,abandonado,anger
8,21,abandonar,fear
9,24,abandono,anger
10,28,abedul,anger
11,31,abeja,anger
12,33,aberración,disgust
13,34,abiertamente,trust
14,35,abierto,fear
15,36,abismal,sadness
16,37,abismo,fear
17,40,Abogacía,anger
18,44,abogado,anger
19,51,abolir,anger
20,52,abollado,fear
21,54,abominable,disgust
22,56,abominación,anger
23,59,abominar,disgust
24,60,abordado,anger
25,61,aborrecer,anger
26,64,aborrecible,anger
27,67,aborrecimiento,disgust
28,68,abortivo,sadness
29,69,aborto,disgust
30,72,aborto espontáneo,fear
31,74,abrasador,anger
32,75,abrazados,joy
33,76,abrazo,anticipation
34,85,abrazos,joy
35,87,abrigo,trust
36,88,abrumado,fear
37,90,abrumador,anger
38,93,abrupto,surprise
39,94,absceso,sadness
40,95,absolución,joy
41,97,absurdo,anger
42,100,abucheo,sadness
43,101,abuelo,trust
44,102,abundancia,anticipation
45,106,abundancia de nubes,fear
46,107,abundante,anticipation
47,110,aburrido,sadness
48,111,aburrimiento,sadness
49,112,abuso,anger
50,116,abyecto,disgust
51,117,académico,trust
52,118,acantilado,fear
53,119,acatar,anticipation
54,120,accidental,fear
55,122,accidentalmente,surprise
56,123,accidente,fear
57,126,acción de gracias,joy
58,127,aceites,joy
59,128,acelerador,anger
60,129,acelerando,anger
61,130,acelerar,anticipation
62,132,aceptación,trust
63,133,aceptaciones,fear
64,134,aceptado,trust
65,135,aceptando,trust
66,136,aceptar,trust
67,137,aclamación,trust
68,138,aclamaciones,joy
69,139,aclarar,joy
70,142,acogedor,joy
71,143,acompañamiento,anticipation
72,146,aconsejable,trust
73,147,aconsejado,trust
74,148,acosar,anger
75,153,acoso,anger
76,157,acostado,anger
77,159,acre,disgust
78,160,acreditado,trust
79,161,acreedor hipotecario,trust
80,162,acróbata,fear
81,165,Actriz,trust
82,166,acuerdo,anticipation
83,172,acurrucado,joy
84,173,acurrucarse,joy
85,175,acusación,anger
86,181,acusado,anger
87,186,acusador,anger
88,188,acusando,anger
